year,month,water_km2
2019,1,2248.021890708211
2019,2,2069.4499753197656
2019,3,2240.233776210479
2019,4,1649.4798762940566
2019,5,915.9233432214497
2019,6,3232.683558066051
2019,7,5502.754798752277
2019,8,5443.107646935852
2019,9,4906.257186030883
2019,10,3973.1354123953965
2019,11,3403.5561533059526
2019,12,2474.6625737064046
2020,1,2185.0021584005244
2020,2,2427.2666685058734
2020,3,2065.0926785896486
2020,4,2115.367941903024
2020,5,2822.9726192755625
2020,6,1616.8782383664138
2020,7,2210.4703996949897
2020,8,2551.7590343850293
2020,9,4125.602218784216
2020,10,6477.7718208959295
2020,11,3658.4995422951106
2020,12,2472.030178909275
2021,1,1999.9842772557517
2021,2,2103.096712287813
2021,3,2030.0086353537606
2021,4,2430.855799193214
2021,5,1330.0274208422643
2021,6,1065.8982480326652
2021,7,3035.7115501704743
2021,8,2029.2724976971758
2021,9,5439.141231193935
2021,10,3921.7150144804978
2021,11,3023.9459672715902
2021,12,2314.0191745030493
2022,1,0.0
2022,2,0.0
2022,3,0.0
2022,4,0.0
2022,5,0.0
2022,6,0.0
2022,7,0.0
2022,8,0.0
2022,9,0.0
2022,10,0.0
2022,11,0.0
2022,12,0.0
